dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
10X434,10,10,Belmont Preparatory High School,X435,0.221,0.093,0.853,High school,"09,10,11,12,SE",-73.888625,40.859466,X,6,2001
10X437,10,10,Fordham High School for the Arts,X435,0.23,0.024,0.851,High school,"09,10,11,12,SE",-73.888625,40.859466,X,6,2001
10X438,10,10,Fordham Leadership Academy,X435,0.244,0.155,0.887,High school,"09,10,11,12,SE",-73.888625,40.859466,X,6,2001
10X439,10,10,Bronx High School for Law and Community Service,X435,0.234,0.121,0.894,High school,"09,10,11,12,SE",-73.888625,40.859466,X,6,2001
10X440,10,10,DeWitt Clinton High School,X440,0.205,0.11,0.858,High school,"09,10,11,12,SE",-73.889011,40.879958,X,3,1929
10X442,10,10,"Celia Cruz Bronx High School of Music, The",X430,0.211,0.043,0.857,High school,"09,10,11,12,SE",-73.897066,40.869061,X,5,2003
10X447,10,10,Creston Academy,X079,0.207,0.259,0.967,Junior High-Intermediate-Middle,"06,07,08,SE",-73.903139,40.855337,X,3,2009
10X477,10,10,Marble Hill High School for International Studies,X475,0.156,0.281,0.88,High school,"09,10,11,12,SE",-73.912686,40.877379,X,7,2002
10X524,10,10,Crotona International High School,X660,0.047,0.964,0.846,High school,"09,10,11,12",-73.882487,40.855392,X,3,2011
10X546,10,10,Bronx Theatre High School,X475,0.235,0.037,0.845,High school,"09,10,11,12,SE",-73.912686,40.877379,X,7,2003
10X549,10,10,Discovery High School,X430,0.249,0.194,0.9,High school,"09,10,11,12,SE",-73.897066,40.869061,X,5,2003
10X565,10,10,High School for Energy and Technology,X660,0.272,0.123,0.856,High school,"09,10,11,12,SE",-73.882487,40.855392,X,3,2012
11X127,11,11,J.H.S. 127 The Castle Hill,X127,0.201,0.145,0.789,Junior High-Intermediate-Middle,"06,07,08,SE",-73.853203,40.838759,X,2,1953
11X144,11,11,J.H.S. 144 Michelangelo,X144,0.264,0.098,0.783,Junior High-Intermediate-Middle,"06,07,08,SE",-73.836525,40.863842,X,3,1968
11X153,11,11,P.S. 153 Helen Keller,X153,0.128,0.016,0.659,Elementary,"PK,0K,01,02,03,04,05,SE",-73.831669,40.874035,X,2,1971
11X160,11,11,P.S. 160 Walt Disney,X160,0.249,0.023,0.746,Elementary,"PK,0K,01,02,03,04,05,SE",-73.823816,40.864073,X,2,1972
11X178,11,11,P.S. 178 - Dr. Selman Waksman,X178,0.209,0.034,0.785,Elementary,"0K,01,02,03,04,05,SE",-73.831669,40.874035,X,1,1972
11X181,11,11,I.S. 181 Pablo Casals,X181,0.234,0.028,0.815,Junior High-Intermediate-Middle,"06,07,08,SE",-73.831669,40.874035,X,2,1972
11X189,11,11,Cornerstone Academy for Social Action,X189,0.182,0.041,0.913,Elementary,"PK,0K,01,02,03,04,05,SE",-73.830616,40.882778,X,2,2007
11X194,11,11,P.S./M.S. 194,X194,0.152,0.171,0.817,K-8,"0K,01,02,03,04,05,06,07,08,SE",-73.846594,40.83541,X,1,2003
